Index,Original Label,Predicted Label,Conf_0,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5,Conf_6,Conf_7,Conf_8,Conf_9
0,7,7,5.031953e-07,1.0776436e-06,2.0815207e-05,5.0477134e-05,2.4202566e-07,6.7815636e-06,1.7374877e-09,0.9999031,3.8599134e-07,1.6699461e-05
1,2,2,4.269476e-09,6.84786e-06,0.99998236,5.9786394e-06,4.600705e-09,7.2150065e-08,4.5268494e-06,2.439217e-08,2.1115777e-07,5.1294666e-11
2,1,1,4.8390125e-06,0.9956513,0.00021594726,0.0004961722,0.00038977526,0.00036380664,0.00063306757,0.0019672697,0.00013192877,0.00014586453
3,0,0,0.98926127,0.00010763201,0.0023725834,0.0001512742,0.00032991508,0.0006672204,0.0052171284,0.00062865793,0.00075002905,0.00051428046
4,4,4,0.0009349519,0.00021164127,0.0022102774,0.00051619555,0.8188809,0.0019221947,0.001638968,0.0046537044,0.0022790302,0.16675209
5,1,1,2.5140037e-07,0.9980281,5.374149e-05,0.00014778663,4.550749e-05,3.086017e-05,2.5913467e-05,0.0016001881,1.5663427e-05,5.192486e-05
6,4,9,8.1791244e-05,9.7136e-05,6.616383e-05,0.0029663818,0.2626394,0.04778514,0.0014522643,0.0011143162,0.20359643,0.48020095
7,9,9,0.0004186496,0.019888112,0.03547839,0.30820733,0.12660155,0.0026061393,0.0023581886,0.011900105,0.042642996,0.4498985
8,5,6,3.9576944e-06,4.41062e-08,1.2874824e-07,9.5562e-07,3.2511643e-06,0.3563458,0.6319438,9.809733e-09,0.011587813,0.00011422383
9,9,9,2.7377066e-05,7.6881995e-05,0.00011523636,0.0014117432,0.035083726,0.00056832837,6.9445605e-06,0.17255974,0.0029012198,0.7872488
10,0,0,0.98569655,2.3647806e-05,0.009480611,0.0001449734,0.0001016406,0.00025433197,0.000198848,0.00020144157,0.0024732065,0.0014247911
11,6,6,1.7502489e-05,3.48856e-08,1.6594205e-07,2.4133031e-09,1.5998273e-06,2.2694346e-06,0.9999776,1.5539607e-09,7.532053e-07,2.6342276e-08
12,9,9,0.0002778221,0.00016055605,0.0005375613,0.0045459527,0.0032375504,0.0013148173,2.136071e-05,0.014440024,0.0109995585,0.9644648
13,0,0,0.9229155,1.297262e-05,0.0034350858,0.00030525692,4.304072e-05,0.0012967198,0.0016883076,4.198598e-05,0.06899837,0.001262839
14,1,1,2.8835947e-07,0.9990175,6.0880888e-05,0.0005233009,1.7541523e-05,0.000114868046,9.771138e-05,0.0001239355,2.1814107e-05,2.222923e-05
