Index,Original Label,Predicted Label,Conf_0,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5,Conf_6,Conf_7,Conf_8,Conf_9,Conf_10,Conf_11,Conf_12,Conf_13,Conf_14,Conf_15,Conf_16,Conf_17,Conf_18,Conf_19,Conf_20,Conf_21,Conf_22,Conf_23,Conf_24,Conf_25,Conf_26,Conf_27,Conf_28,Conf_29,Conf_30,Conf_31,Conf_32,Conf_33,Conf_34,Conf_35,Conf_36,Conf_37,Conf_38,Conf_39
0,18,1,0.00020733724522870034,0.8183594346046448,2.759122025963734e-06,0.002529376419261098,3.1841713710178965e-09,3.8745298525100225e-08,2.3421669936851686e-07,0.00017878497601486742,1.1690284157372943e-11,3.6699407957030417e-08,0.00016411772230640054,7.703063742425797e-10,7.20705475032446e-06,5.804760803584941e-06,1.1052165973524097e-06,7.913593435660005e-05,4.370905344330822e-07,3.3576252889133684e-08,0.012028174474835396,8.242918556788936e-05,6.835586763287438e-09,4.9055405071385394e-08,2.3608832666610624e-09,3.168395101837973e-09,1.9081337541138055e-06,3.095362990279682e-05,0.16524182260036469,0.0009584645158611238,6.848617886134889e-07,6.78996769920559e-08,4.5266295956025715e-07,1.6404167126893299e-06,4.908092599009706e-09,2.755533898834983e-07,3.797267500438295e-10,1.0338027323086862e-08,0.00011678669397952035,2.3676859939314454e-07,2.299454376908372e-10,1.653168197890409e-07
1,0,17,0.07205972075462341,0.02858254313468933,0.0005813075113110244,0.2769578993320465,0.0060173021629452705,0.005028518848121166,0.00034800756839103997,0.004159028176218271,8.677214395902411e-07,9.852782386587933e-05,0.000722537690307945,0.0014886283315718174,0.07121379673480988,0.010003948584198952,1.796261130948551e-05,0.04396636411547661,0.00035250672954134643,0.42031002044677734,9.51199617702514e-05,0.005912473425269127,5.740098640671931e-05,1.6773929019109346e-06,7.013793219812214e-05,0.00010447989916428924,0.0001835161237977445,0.00041076168417930603,0.02528979443013668,0.0003430107026360929,3.981253939855378e-06,0.002570271259173751,4.643989086616784e-05,0.016792289912700653,5.40824476047419e-06,1.5858655615375028e-06,0.00039399610250256956,7.301528239622712e-05,9.179170592688024e-05,0.0027424623258411884,4.439726239979791e-07,0.002900481689721346
2,5,17,0.003599816234782338,0.0004434412403497845,2.265246394017595e-06,0.00427459180355072,0.0007701209979131818,0.0016266978345811367,6.100626342231408e-05,0.00048432714538648725,1.1268246336015864e-09,4.6161035243130755e-06,6.997368018346606e-06,1.47202008520253e-05,0.0018153177807107568,7.460812980752962e-07,7.4090839916607365e-06,0.020495599135756493,2.5906590508384397e-06,0.941903829574585,2.7550872800929938e-06,5.649975355481729e-05,3.406149318152529e-08,1.051085662950868e-09,7.004902045082417e-07,4.633969365386292e-05,2.2502090359921567e-06,5.529105706614246e-08,3.683872637338936e-05,6.860449957457604e-06,5.3493851709385254e-11,4.6732588089071214e-05,1.724719254525553e-06,0.02411334589123726,7.391986969196296e-07,1.957956685672002e-09,6.848196062492207e-05,2.1649068457918474e-06,1.1039729130857268e-08,5.273434908303898e-06,5.512796816264931e-11,9.509212395641953e-05
3,22,2,0.0008671257528476417,0.00019114445603918284,0.32025498151779175,0.07945719361305237,0.0013142724055796862,0.003952532075345516,0.0022306148894131184,0.0001673392835073173,0.021794913336634636,0.004840421490371227,0.002076792297884822,0.025542140007019043,0.028642863035202026,0.007063104305416346,0.0004376758879516274,0.00028607455897144973,0.05178990587592125,0.0028598716016858816,0.005302984733134508,0.0013572074240073562,0.0900150015950203,0.005811735522001982,0.035179462283849716,9.829518967308104e-05,0.004252907820045948,0.0775921568274498,0.0007989741861820221,0.05411283299326897,0.0017321681370958686,0.0013453150168061256,0.04264729097485542,0.0007291701040230691,6.281132664298639e-05,0.0004421105550136417,0.023136483505368233,0.0002886736183427274,0.039407722651958466,0.04869906231760979,0.0020251027308404446,0.01119352225214243
4,22,3,3.967636439483613e-05,0.00025136329350061715,0.0011860401136800647,0.9121122360229492,8.643353794468567e-06,0.00014187082706484944,1.9668983441079035e-05,0.0001350710226688534,2.2868953237775713e-06,5.643061740556732e-06,0.01668311282992363,3.7941767914162483e-06,0.0025050395634025335,0.007324486039578915,0.0001237486576428637,1.212968800246017e-05,4.284056558390148e-05,0.00043770382762886584,0.011940274387598038,0.0003187053371220827,0.0001755277335178107,4.118033203326377e-08,9.121965558733791e-05,1.2820517092393402e-08,0.0003140280023217201,0.03008132614195347,0.001429730444215238,0.00946043711155653,1.2150087513873586e-07,1.4917310181772336e-05,8.106139830488246e-06,3.6895951780024916e-05,8.862427591793676e-08,2.9992206691531464e-06,0.00010783004108816385,5.633895625578589e-07,0.0006135706207714975,0.0043427650816738605,5.170851409275201e-07,2.4911656510084867e-05
5,27,18,1.7280146948905895e-06,0.022806383669376373,2.4431938072666526e-07,0.0024722625967115164,1.4807389561610762e-05,0.000119520649604965,0.006768309976905584,2.8495308015408227e-06,4.016403210016506e-09,5.005080083719804e-08,0.001360926777124405,3.535256354325611e-08,2.3657447911773488e-07,2.390093527537829e-07,0.10120989382266998,0.0008377577178180218,8.385578439629171e-06,9.467818244957016e-07,0.775618851184845,1.473090947001765e-07,1.0379280546146674e-08,1.0196982147547828e-09,1.1267317745478067e-07,1.468941235316379e-07,3.908634971594438e-05,3.927659690816654e-06,0.04061207175254822,0.00233138888143003,7.293454035162128e-12,1.0444064457715285e-07,0.01935642957687378,0.026400994509458542,1.8137271240448172e-07,1.533381328044925e-05,1.1304638114495447e-08,1.5845929738134146e-05,4.443884336069459e-07,1.9207816137623013e-07,1.4215987276244846e-09,9.934955613744023e-08
6,16,16,0.0016069029225036502,2.1050345822004601e-07,0.000470201630378142,2.501699555068626e-06,3.294686052868201e-07,4.3761451706814114e-07,5.971031441731611e-06,8.603280576835459e-08,7.180098327808082e-05,0.00010374395060352981,6.390049378524054e-08,0.00045220140600576997,2.627559661050327e-05,1.9706479292835866e-07,1.0956489049362972e-08,4.3754212128988e-06,0.9142014980316162,1.0744637535253787e-07,7.245820654588897e-08,4.3560086737670645e-07,0.00551208620890975,0.007282337639480829,6.319658496067859e-06,0.01118998508900404,7.549119374061775e-08,2.0877429051324725e-05,3.283486194050056e-08,2.2451904442277737e-06,0.05472694709897041,1.1069191714341287e-06,8.834232721710578e-05,6.029954846553665e-08,0.0007255931850522757,2.352124965909752e-06,0.003034360706806183,1.942278686328791e-05,0.00016622073599137366,5.019594027544372e-06,0.00025425892090424895,1.485683060309384e-05
7,18,26,0.00023114070063456893,0.20999659597873688,0.00179266557097435,0.007119569927453995,5.717298699892126e-05,1.351147784589557e-05,0.00012667856935877353,0.00045704469084739685,9.149247404138805e-08,4.14564783568494e-06,0.001269921544007957,2.8007325454382226e-05,0.0026098245289176702,0.008637500926852226,0.00018813250062521547,0.000285206624539569,2.3623926608706824e-05,0.00031909203971736133,0.023949872702360153,0.0006243746029213071,1.7917869627126493e-05,7.884440833549888e-07,1.8505676052882336e-05,1.0622294155382406e-07,0.0009048316278494895,0.004059996921569109,0.6864771246910095,0.04126881808042526,1.6599625496382941e-06,1.81344585143961e-05,0.0007745104958303273,0.0019501614151522517,6.781273782507924e-07,1.5113908375496976e-05,1.0096531696035527e-05,9.208558822138002e-07,0.006555215921252966,0.00014620227739214897,2.6832853450287075e-07,4.483901648200117e-05
8,31,1,1.8110507653545938e-06,0.9373825192451477,4.233576596929245e-12,7.364358793893189e-07,7.752352093604031e-10,7.17793957605295e-09,0.00017500820104032755,1.7214458125636156e-07,2.7533120940878293e-16,3.7318718536412387e-13,5.5260294118397724e-08,2.20895849355196e-12,3.253160761607088e-12,9.770274866927053e-13,2.8820602892665192e-05,2.7249428967479616e-05,2.803595133826775e-10,7.152958780842766e-12,0.019338050857186317,8.194661060834108e-10,5.074224731799887e-14,2.2893640316823394e-09,3.809192544723672e-14,5.6484498855979837e-08,9.031638284473509e-12,2.2224164175632666e-10,1.042870167111687e-06,8.766396319970227e-08,1.64276348058566e-13,7.558489424630555e-12,4.143566059156001e-07,0.04304354637861252,2.6397654551146843e-07,9.149088242565995e-08,8.788016294487486e-14,1.4443967799593338e-08,1.9789782312873427e-10,5.346597730521152e-13,1.809895278353374e-14,1.5215810555968545e-10
9,35,35,0.00012204499944346026,4.178323069936596e-05,1.1491156328702345e-05,6.048444993211888e-05,0.0009722140384837985,0.0013535773614421487,0.006227412261068821,4.827035081689246e-05,0.00020932739425916225,2.9908924261690117e-05,0.0006929205846972764,1.2032400263706222e-05,2.0581761418725364e-05,3.8336594343491015e-07,0.09180573374032974,0.005065808538347483,0.0028577318880707026,5.1283236643939745e-06,0.0003945624048355967,2.2309588530333713e-05,8.76750891620759e-06,1.3522851531888591e-06,6.920054875081405e-05,0.0023899958468973637,0.0002637202851474285,5.946639248577412e-06,0.00016574343317188323,3.1718464015284553e-06,2.1927750992745132e-07,0.00024298734206240624,0.013660483062267303,0.00020102541020605713,6.711249443469569e-05,5.51789125893265e-05,6.550777470692992e-05,0.872833788394928,3.5178214119468976e-08,3.200097125954926e-06,1.1944514710648946e-07,8.854916814016178e-06
