Index,Original Label,Predicted Label,Conf_0,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5,Conf_6,Conf_7,Conf_8,Conf_9
0,1,1,2.3675991087657167e-06,0.9993194341659546,9.998468719629727e-10,1.0633750824329269e-10,2.342932958754318e-09,4.729017177851347e-10,2.0734047811998835e-09,1.317356900648603e-11,0.000608829956036061,6.937362195458263e-05
1,9,9,9.728675649967045e-06,8.345724927494302e-05,1.1741223460148831e-07,1.64071170729585e-05,1.3093143707010313e-06,8.714322348168935e-07,6.296295484986558e-09,1.3318426681507844e-05,0.02568545937538147,0.9741893410682678
2,2,2,0.0007330480730161071,3.904337518179091e-06,0.7199708819389343,0.03349743410944939,0.17927031219005585,0.0525611974298954,0.013851650059223175,8.116431854432449e-05,4.75324850413017e-06,2.5771698346943595e-05
3,8,8,0.0006263742106966674,4.538205757853575e-06,1.8437585680430857e-08,6.783533290644073e-09,2.9521329825143994e-09,2.0417958435103856e-09,8.932208750422888e-09,7.840294385941249e-11,0.9993684887886047,5.613421762973303e-07
4,4,4,1.2356815659586573e-06,1.3600337297248188e-05,0.00020069797756150365,2.1884921807213686e-05,0.9988312125205994,2.9217331757536158e-05,3.515122807584703e-05,0.0008433961775153875,2.357624725846108e-05,1.1602615046513165e-07
5,6,6,0.007017027586698532,0.0005437742220237851,0.00044029398122802377,0.0002552803489379585,0.0010960702784359455,0.0013333800015971065,0.9891288876533508,5.822814728162484e-06,9.172108548227698e-05,8.777975017437711e-05
6,1,1,1.4240190360226279e-08,0.9999163150787354,1.7864477258600076e-11,8.078372415454282e-10,2.0877525402918096e-11,5.521254980989099e-11,8.868789491862927e-13,6.623446235920483e-11,9.48357481433959e-08,8.364090899704024e-05
7,3,3,1.2182541695437976e-06,3.4432471807122056e-07,3.319760708109243e-06,0.9515602588653564,2.2718662876286544e-05,0.03467780724167824,4.168261511949822e-05,0.013690514490008354,5.021413471695269e-07,1.6115407106553903e-06
8,8,8,5.426831961585776e-08,6.040835432941094e-05,5.374722888973338e-10,9.164628522739804e-07,3.602823994697246e-08,3.3621028183716817e-09,4.5392951619760424e-09,6.744709235562141e-09,0.999934196472168,4.358706519269617e-06
9,8,0,0.6070990562438965,0.0007696312968619168,0.07737185060977936,0.0013338924618437886,0.00035843049408867955,2.8052365451003425e-05,0.003588163061067462,8.7543303379789e-05,0.30916330218315125,0.0002001023676712066
10,3,3,7.999374247447122e-06,1.3913861039327458e-05,0.00010491585999261588,0.5189652442932129,0.0002908103633671999,0.4778401851654053,0.0015636630123481154,0.001202486688271165,1.249516799362027e-06,9.494583537161816e-06
11,2,2,0.0017636033007875085,2.9044828764313024e-08,0.9978185892105103,2.1019830455770716e-05,0.0003660776128526777,1.6481513739563525e-05,9.64169612416299e-06,1.871652841600735e-07,4.089838057552697e-06,2.4433126100120717e-07
